sample_name,life_stage_age,simple_biosample_summary,target,input
Dip2_ENCSR288VXK_rep2,embryonic 0-18 hours,embryo (0-18 hours) strain Dip2-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster Dlip2,Dip2,input_ENCSR753WWN_rep1
Stat92E_ENCSR290OJD_rep1,embryonic 0-12 hours,mixed sex embryo (0-12 hours) strain Stat92E-GFP stably expressing C-terminal eGFP-tagged Stat92E,Stat92E,input_ENCSR480YPK_rep1
Stat92E_ENCSR290OJD_rep3,embryonic 0-12 hours,mixed sex embryo (0-12 hours) strain Stat92E-GFP stably expressing C-terminal eGFP-tagged Stat92E,Stat92E,input_ENCSR480YPK_rep1
CG4424_ENCSR291ZDB_rep1,embryonic 0-16 hours,mixed sex embryo (0-16 hours) strain CG4424-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG4424,CG4424,input_ENCSR656YMX_rep1
CG4424_ENCSR291ZDB_rep2,embryonic 0-16 hours,mixed sex embryo (0-16 hours) strain CG4424-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG4424,CG4424,input_ENCSR656YMX_rep1
CG4424_ENCSR291ZDB_rep3,embryonic 0-16 hours,mixed sex embryo (0-16 hours) strain CG4424-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG4424,CG4424,input_ENCSR656YMX_rep1
lola_ENCSR292EYZ_rep1,embryonic 0-12 hours,mixed sex embryo (0-12 hours) strain lola-J-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster lola,lola,input_ENCSR119OOH_rep1
lola_ENCSR292EYZ_rep3,embryonic 0-12 hours,mixed sex embryo (0-12 hours) strain lola-J-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster lola,lola,input_ENCSR119OOH_rep1
pfk_ENCSR292WNJ_rep1,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG15812-GFP attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG15812,pfk,input_ENCSR268FFL_rep1
pfk_ENCSR292WNJ_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG15812-GFP attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG15812,pfk,input_ENCSR268FFL_rep1
chinmo_ENCSR294JDU_rep1,embryonic 6-24 hours,embryo (6-24 hours) strain chinmo-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster chinmo,chinmo,input_ENCSR641AIJ_rep1
chinmo_ENCSR294JDU_rep2,embryonic 6-24 hours,embryo (6-24 hours) strain chinmo-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster chinmo,chinmo,input_ENCSR641AIJ_rep1
chinmo_ENCSR294JDU_rep3,embryonic 6-24 hours,embryo (6-24 hours) strain chinmo-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster chinmo,chinmo,input_ENCSR641AIJ_rep1
chinmo_ENCSR294JDU_rep4,embryonic 6-24 hours,embryo (6-24 hours) strain chinmo-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster chinmo,chinmo,input_ENCSR641AIJ_rep1
MESR4_ENCSR295CRU_rep1,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain MESR4-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster MESR4,MESR4,input_ENCSR943ZYI_rep1
MESR4_ENCSR295CRU_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain MESR4-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster MESR4,MESR4,input_ENCSR943ZYI_rep1
Neu2_ENCSR296ASC_rep1,embryonic 2-4 hours,mixed sex embryo (2-4 hours) strain Neu2-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Neu2,Neu2,input_ENCSR185XQI_rep1
Neu2_ENCSR296ASC_rep2,embryonic 2-4 hours,mixed sex embryo (2-4 hours) strain Neu2-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Neu2,Neu2,input_ENCSR185XQI_rep1
Neu2_ENCSR296ASC_rep3,embryonic 2-4 hours,mixed sex embryo (2-4 hours) strain Neu2-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Neu2,Neu2,input_ENCSR185XQI_rep1
CG17385_ENCSR296MRL_rep1,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG17385-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG17385,CG17385,input_ENCSR174KFQ_rep1
CG17385_ENCSR296MRL_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG17385-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG17385,CG17385,input_ENCSR174KFQ_rep1
CG17385_ENCSR296MRL_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG17385-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG17385,CG17385,input_ENCSR174KFQ_rep1
CG10366_ENCSR299JLA_rep1,embryonic 0-24 hours,embryo (0-24 hours) strain CG10366-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG10366,CG10366,input_ENCSR215ERX_rep1
CG10366_ENCSR299JLA_rep2,embryonic 0-24 hours,embryo (0-24 hours) strain CG10366-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG10366,CG10366,input_ENCSR215ERX_rep1
CG14050_ENCSR302KZT_rep1,embryonic 0-24 hours,embryo (0-24 hours) strain CG14050-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG14050,CG14050,input_ENCSR305XHO_rep1
CG14050_ENCSR302KZT_rep2,embryonic 0-24 hours,embryo (0-24 hours) strain CG14050-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG14050,CG14050,input_ENCSR305XHO_rep1
CG14050_ENCSR302KZT_rep3,embryonic 0-24 hours,embryo (0-24 hours) strain CG14050-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG14050,CG14050,input_ENCSR305XHO_rep1
